name,inputs,size,threshold,threshold_param,threshold_cross,index,size_trim,size_bisim,size_sim,sim_rels,size_sc1,size_sc1_min,size_sc2,size_sc2_min,max_inter,time_bisim,time_sim,time_sc1,time_sc1_min,time_sc2,time_sc2_min,time_total,cancel
nfa_170_2.0_5.ba,13,171,,,,,171,171,173,,533359,4,4,4,,17344835,32321575,19612946894,,8045446163,,27708059467,
nfa_130_2.0_0.ba,11,131,,,,,131,131,133,,149041,5,5,5,,14174177,25741099,4864179282,,1018805107,,5922899665,
nfa_70_2.0_2.ba,8,71,,,,,71,71,73,,6309,1,1,1,,7860075,15818310,114320516,,2232164,,140231065,
nfa_130_2.0_9.ba,11,131,,,,,131,131,133,,143056,5,5,5,,13393295,24282346,4427588552,,993262034,,5458526227,
nfa_50_2.0_2.ba,7,51,,,,,51,51,53,,1372,3,3,3,,9618147,19020484,39859061,,3084116,,71581808,
nfa_60_2.0_5.ba,7,61,,,,,61,61,63,,3274,4,4,4,,7898604,18123402,55575578,,3479747,,85077331,
nfa_140_2.0_7.ba,11,141,,,,,141,141,143,,186809,5,5,5,,14037295,26499756,5495351635,,1423969729,,6959858415,
nfa_100_2.0_5.ba,10,101,,,,,101,101,103,,36262,5,5,5,,11464818,19505981,601482509,,132912068,,765365376,
nfa_110_2.0_9.ba,10,111,,,,,111,111,113,,54212,4,4,4,,11804368,20968683,1141277189,,176194814,,1350245054,
nfa_80_2.0_4.ba,8,81,,,,,81,81,83,,12317,5,5,5,,8068372,17226817,186155356,,16345715,,227796260,
nfa_60_2.0_4.ba,7,61,,,,,61,61,63,,3582,5,5,5,,7192471,14511392,58678710,,3528345,,83910918,
nfa_80_2.0_5.ba,8,81,,,,,81,81,83,,11754,5,5,5,,8197512,17248095,180031025,,15803432,,221280064,
nfa_200_2.0_4.ba,14,201,,,,,201,201,203,,1207421,8,8,8,,22947450,38941819,116967565587,,73784362803,,190813817659,
nfa_210_2.0_4.ba,14,211,,,,,211,211,213,,1491499,8,8,8,,21448960,36768959,152580652321,,104947973034,,257586843274,
nfa_70_2.0_4.ba,8,71,,,,,71,71,73,,7229,1,1,1,,7981630,15708971,118134461,,2413043,,144238105,
nfa_100_2.0_4.ba,10,101,,,,,101,101,103,,33944,4,4,4,,11377876,19728987,604181937,,96994803,,732283603,
nfa_140_2.0_3.ba,11,141,,,,,141,141,143,,200509,5,5,5,,13995729,25235175,7463194431,,1662072317,,9164497652,
nfa_30_2.0_6.ba,5,31,,,,,31,31,33,,203,1,1,1,,4731517,12001345,11545845,,251240,,28529947,
nfa_190_2.0_4.ba,13,191,,,,,191,191,193,,789959,7,7,7,,19417156,35125248,61286162754,,33842393003,,95183098161,
nfa_220_2.0_2.ba,ERR
nfa_30_2.0_0.ba,5,31,,,,,31,31,33,,189,3,3,3,,4397995,11685994,10991203,,323730,,27398922,
nfa_170_2.0_2.ba,13,171,,,,,171,171,173,,477271,4,4,4,,17692311,31536848,18681366018,,6331408240,,25062003417,
nfa_70_2.0_3.ba,8,71,,,,,71,71,73,,6939,3,3,3,,8292950,16192529,121798604,,4011454,,150295537,
nfa_150_2.0_1.ba,12,151,,,,,151,151,153,,276488,4,4,4,,14658047,27561192,9468420588,,2250606656,,11761246483,
nfa_110_2.0_1.ba,10,111,,,,,111,111,113,,64481,4,4,4,,11503314,20223684,1280018532,,239393371,,1551138901,
nfa_210_2.0_9.ba,14,211,,,,,211,211,213,,1527793,7,7,7,,27177790,38158117,176863554943,,100913238703,,277842129553,
nfa_200_2.0_0.ba,14,201,,,,,201,201,203,,1158854,6,6,6,,24161501,36247817,83988556346,,50102319926,,134151285590,
nfa_30_2.0_4.ba,5,31,,,,,31,31,33,,183,4,4,4,,4690846,11655473,11033873,,390761,,27770953,
nfa_120_2.0_3.ba,10,121,,,,,121,121,123,,90009,7,7,7,,12390545,22860556,2367187901,,902658818,,3305097820,
nfa_130_2.0_2.ba,11,131,,,,,131,131,133,,142569,4,4,4,,13179895,24517469,4863254043,,759344561,,5660295968,
nfa_160_2.0_2.ba,12,161,,,,,161,161,163,,337702,6,6,6,,16151628,31705117,13299040260,,5410345095,,18757242100,
nfa_120_2.0_9.ba,10,121,,,,,121,121,123,,93944,4,4,4,,12462254,21989055,1857876729,,364503280,,2256831318,
nfa_20_2.0_9.ba,4,21,,,,,21,21,23,,60,3,3,3,,3511344,9917511,8118949,,217340,,21765144,
nfa_140_2.0_6.ba,11,141,,,,,141,141,143,,181324,5,5,5,,13911765,25526608,5781306510,,1296456546,,7117201429,
nfa_130_2.0_8.ba,11,131,,,,,131,131,133,,135600,1,1,1,,13703234,24184817,3135376262,,178379714,,3351644027,
nfa_200_2.0_7.ba,14,201,,,,,201,201,203,,1153807,8,8,8,,33942912,50402703,123986184643,,109514974347,,233585504605,
nfa_140_2.0_5.ba,11,141,,,,,141,141,143,,187191,5,5,5,,14839046,28704061,5486618671,,1595562110,,7125723888,
nfa_200_2.0_2.ba,14,201,,,,,201,201,203,,1076193,6,6,6,,25826680,36680952,95170558201,,44723725531,,139956791364,
nfa_90_2.0_7.ba,9,91,,,,,91,91,93,,16638,4,4,4,,9749110,17966530,292244831,,24200645,,344161116,
nfa_40_2.0_7.ba,6,41,,,,,41,41,43,,506,1,1,1,,5949806,13903155,16260047,,282001,,36395009,
nfa_110_2.0_2.ba,10,111,,,,,111,111,113,,59487,4,4,4,,11232292,20678871,1083308683,,214074268,,1329294114,
nfa_50_2.0_1.ba,7,51,,,,,51,51,53,,1470,3,3,3,,6140346,12559333,29791891,,1399821,,49891391,
nfa_190_2.0_2.ba,13,191,,,,,191,191,193,,803296,5,5,5,,21120133,34033357,56566773910,,21096087841,,77718015241,
nfa_30_2.0_8.ba,5,31,,,,,31,31,33,,202,3,3,3,,4807986,12522153,11735892,,404621,,29470652,
nfa_40_2.0_9.ba,6,41,,,,,41,41,43,,516,3,3,3,,6077806,13240154,16494708,,520941,,36333609,
nfa_190_2.0_3.ba,13,191,,,,,191,191,193,,794470,6,5,5,,19816702,35153888,62359368828,,21607741502,,84022080920,
nfa_150_2.0_7.ba,12,151,,,,,151,151,153,,275474,6,6,6,,14984146,28560979,9982403811,,3312044974,,13337993910,
nfa_250_2.0_8.ba,15,251,,,,,251,251,253,,,,,,,29304179,46191092,,,,,75495271,TO
nfa_90_2.0_2.ba,9,91,,,,,91,91,93,,19674,5,5,5,,10105300,18634729,337404574,,39811891,,405956494,
nfa_80_2.0_0.ba,8,81,,,,,81,81,83,,9863,4,4,4,,8202228,17175667,167407420,,9355749,,202141064,
nfa_300_2.0_9.ba,17,301,,,,,301,301,303,,,,,,,34182446,54728896,,,,,88911342,TO
nfa_220_2.0_9.ba,ERR
nfa_140_2.0_4.ba,11,141,,,,,141,141,143,,206841,4,4,4,,14527945,25540416,6366841717,,1565993220,,7972903298,
nfa_30_2.0_2.ba,5,31,,,,,31,31,33,,250,1,1,1,,4405994,11581471,12323332,,225441,,28536238,
nfa_60_2.0_3.ba,7,61,,,,,61,61,63,,3175,3,3,3,,6761257,13293624,53722844,,2259962,,76037687,
nfa_180_2.0_5.ba,13,181,,,,,181,181,183,,677577,7,7,7,,17767808,34718675,42600110402,,22041633002,,64694229887,
nfa_140_2.0_9.ba,11,141,,,,,141,141,143,,178467,3,3,3,,14104923,26396317,4781249001,,808294662,,5630044903,
nfa_180_2.0_2.ba,13,181,,,,,181,181,183,,632626,8,8,8,,18005878,35039345,29803688764,,21354734481,,51211468468,
nfa_260_2.0_0.ba,16,261,,,,,261,261,263,,,,,,,31193474,48990433,,,,,80183907,TO
nfa_170_2.0_1.ba,13,171,,,,,171,171,173,,502903,4,4,4,,17626047,32626693,26537457925,,7500589286,,34088299951,
nfa_290_2.0_2.ba,17,291,,,,,291,291,293,,,,,,,33279766,54170851,,,,,87450617,TO
nfa_40_2.0_1.ba,6,41,,,,,41,41,43,,510,1,1,1,,5823315,12409941,16382326,,407491,,35023073,
nfa_200_2.0_9.ba,14,201,,,,,201,201,203,,1155562,5,5,5,,27741228,37281598,117960561256,,50983589421,,169009173503,
nfa_70_2.0_5.ba,8,71,,,,,71,71,73,,6286,3,3,3,,7824767,16593386,110994996,,4018964,,139432113,
nfa_210_2.0_7.ba,14,211,,,,,211,211,213,,1535937,6,6,6,,27325739,39944632,127570205070,,104652733076,,232290208517,
nfa_240_2.0_1.ba,15,241,,,,,241,241,243,,3894505,5,,,,29398256,44186369,862424442393,,,,862498027018,TO
nfa_20_2.0_4.ba,4,21,,,,,21,21,21,,1,1,1,1,,3490174,13838833,5275575,,188950,,22793532,
nfa_250_2.0_3.ba,15,251,,,,,251,251,253,,,,,,,34141372,55108345,,,,,89249717,TO
nfa_240_2.0_8.ba,ERR
nfa_80_2.0_9.ba,8,81,,,,,81,81,83,,11273,7,7,7,,9147988,18787348,180433241,,21135951,,229504528,
nfa_20_2.0_2.ba,4,21,,,,,21,21,23,,45,1,1,1,,3516753,10167730,8164578,,195890,,22044951,
nfa_150_2.0_3.ba,12,151,,,,,151,151,153,,291187,5,5,5,,14921754,27907556,10567991175,,3269582493,,13880402978,
nfa_260_2.0_5.ba,16,261,,,,,261,261,263,,,,,,,30611365,48906121,,,,,79517486,TO
nfa_270_2.0_2.ba,16,271,,,,,271,271,273,,,,,,,31438184,49949660,,,,,81387844,TO
nfa_70_2.0_0.ba,8,71,,,,,71,71,73,,6589,1,1,1,,7826708,15902215,109188742,,2195202,,135112867,
nfa_180_2.0_7.ba,13,181,,,,,181,181,183,,614738,5,5,5,,18061487,33334482,41518276612,,23144810641,,64714483222,
nfa_40_2.0_6.ba,6,41,,,,,41,41,43,,480,5,5,5,,6295266,14897554,17610667,,684820,,39488307,
nfa_220_2.0_1.ba,ERR
nfa_150_2.0_9.ba,12,151,,,,,151,151,153,,272012,4,4,4,,15128723,28830168,9241799464,,2196833995,,11482592350,
nfa_70_2.0_1.ba,8,71,,,,,71,71,73,,6345,4,4,4,,7844416,16520571,109321631,,4915682,,138602300,
nfa_200_2.0_3.ba,14,201,,,,,201,201,203,,1141669,5,5,5,,28447447,36673035,88793196981,,40449487092,,129307804555,
nfa_190_2.0_1.ba,13,191,,,,,191,191,193,,769512,3,3,3,,21319659,37710994,65168322367,,11792679034,,77020032054,
nfa_200_2.0_1.ba,14,201,,,,,201,201,203,,1166170,8,8,8,,20916834,36584316,79042598506,,68261156809,,147361256465,
nfa_290_2.0_1.ba,17,291,,,,,291,291,293,,,,,,,33711180,52902382,,,,,86613562,TO
nfa_100_2.0_3.ba,10,101,,,,,101,101,103,,34060,4,4,4,,11535689,19452572,704022629,,92010391,,827021281,
nfa_150_2.0_2.ba,12,151,,,,,151,151,153,,279284,8,8,8,,15015045,27931581,11180828604,,4728281842,,15952057072,
nfa_120_2.0_4.ba,10,121,,,,,121,121,123,,89743,3,3,3,,11814108,21583869,2139706976,,261993820,,2435098773,
nfa_100_2.0_7.ba,10,101,,,,,101,101,103,,31141,4,4,4,,11103390,20285440,633245950,,80271764,,744906544,
nfa_260_2.0_9.ba,16,261,,,,,261,261,263,,,,,,,31487916,45392393,,,,,76880309,TO
nfa_170_2.0_0.ba,13,171,,,,,171,171,173,,504199,7,7,7,,17139983,32180960,21401933445,,11944747800,,33396002188,
nfa_240_2.0_2.ba,15,241,,,,,241,241,243,,3770157,7,,,,30058215,43098320,869379615516,,,,869452772051,TO
nfa_230_2.0_6.ba,ERR
nfa_60_2.0_7.ba,7,61,,,,,61,61,63,,3944,3,3,3,,6973355,13849941,56533820,,2737528,,80094644,
nfa_180_2.0_8.ba,13,181,,,,,181,181,183,,604394,5,5,5,,17768754,33436219,38416432805,,27406660055,,65874297833,
nfa_40_2.0_3.ba,6,41,,,,,41,41,43,,635,1,1,1,,6288756,13168400,18101637,,344340,,37903133,
nfa_120_2.0_7.ba,10,121,,,,,121,121,123,,93622,6,6,6,,11931862,22107454,1851847487,,557036413,,2442923216,
nfa_190_2.0_5.ba,13,191,,,,,191,191,193,,857253,8,8,8,,19427731,34209177,49923586015,,39652441637,,89629664560,
nfa_160_2.0_5.ba,12,161,,,,,161,161,163,,365203,5,5,5,,16537298,32114668,14599187297,,5219460701,,19867299964,
nfa_50_2.0_0.ba,7,51,,,,,51,51,53,,1654,3,3,3,,6474077,13173752,32122800,,1233399,,53004028,
nfa_260_2.0_7.ba,16,261,,,,,261,261,263,,,,,,,30295622,49161442,,,,,79457064,TO
nfa_180_2.0_6.ba,13,181,,,,,181,181,183,,606597,7,7,7,,17727279,33102640,28593606769,,25889598090,,54534034778,
nfa_220_2.0_6.ba,ERR
nfa_140_2.0_2.ba,11,141,,,,,141,141,143,,184260,8,8,8,,13917524,26218708,4382721128,,2239850864,,6662708224,
nfa_40_2.0_0.ba,6,41,,,,,41,41,43,,500,3,3,3,,6040867,13772124,16566403,,509150,,36888544,
nfa_150_2.0_6.ba,12,151,,,,,151,151,153,,284027,6,6,6,,14834263,28382236,9412980188,,3734381011,,13190577698,
nfa_200_2.0_8.ba,14,201,,,,,201,201,203,,1067404,5,5,5,,27170507,38148719,104002024128,,39331595761,,143398939115,
nfa_280_2.0_5.ba,16,281,,,,,281,281,283,,,,,,,33509445,49904941,,,,,83414386,TO
nfa_100_2.0_2.ba,10,101,,,,,101,101,103,,34499,4,4,4,,11086365,19181883,667834395,,99498042,,797600685,
nfa_170_2.0_8.ba,13,171,,,,,171,171,173,,504147,3,3,3,,16970783,32131317,19358016182,,5303397370,,24710515652,
nfa_270_2.0_8.ba,16,271,,,,,271,271,273,,,,,,,32848654,49011050,,,,,81859704,TO
nfa_290_2.0_9.ba,17,291,,,,,291,291,293,,,,,,,34644614,54781735,,,,,89426349,TO
nfa_300_2.0_3.ba,17,301,,,,,301,301,303,,,,,,,34395714,56478646,,,,,90874360,TO
nfa_290_2.0_0.ba,17,291,,,,,291,291,293,,,,,,,33720143,54029443,,,,,87749586,TO
nfa_50_2.0_5.ba,7,51,,,,,51,51,53,,1574,1,1,1,,6333809,13007248,30717107,,693810,,50751974,
nfa_120_2.0_5.ba,10,121,,,,,121,121,123,,89562,5,5,5,,11950359,21858698,1910055642,,417889148,,2361753847,
nfa_40_2.0_2.ba,6,41,,,,,41,41,43,,530,1,1,1,,5807160,12557979,16162638,,294729,,34822506,
nfa_20_2.0_6.ba,4,21,,,,,21,21,21,,1,1,1,1,,3630840,14109419,5479789,,179290,,23399338,
nfa_50_2.0_6.ba,7,51,,,,,51,51,53,,1521,4,4,4,,6591029,12568229,30302137,,1376819,,50838214,
nfa_40_2.0_5.ba,6,41,,,,,41,41,43,,622,4,4,4,,5802299,13548459,18010458,,649680,,38010896,
nfa_290_2.0_7.ba,17,291,,,,,291,291,293,,,,,,,34474354,55708614,,,,,90182968,TO
nfa_30_2.0_7.ba,5,31,,,,,31,31,33,,218,1,1,1,,4368320,11887429,11378069,,265310,,27899128,
nfa_60_2.0_0.ba,7,61,,,,,61,61,63,,3586,4,4,4,,6984469,13818889,55095364,,2866200,,78764922,
nfa_190_2.0_7.ba,13,191,,,,,191,191,193,,792755,4,4,4,,18863327,34946643,66760083231,,16684618327,,83498511528,
nfa_270_2.0_6.ba,16,271,,,,,271,271,273,,,,,,,33955813,47561926,,,,,81517739,TO
nfa_80_2.0_7.ba,8,81,,,,,81,81,83,,10493,4,4,4,,8563980,17321088,165994796,,11832019,,203711883,
nfa_40_2.0_8.ba,6,41,,,,,41,41,43,,603,1,1,1,,6156599,13977449,18031939,,326520,,38492507,
nfa_210_2.0_5.ba,14,211,,,,,211,211,213,,1527785,8,8,8,,23394669,41056692,124885802159,,110984636122,,235934889642,
nfa_270_2.0_9.ba,16,271,,,,,271,271,273,,,,,,,31692121,53492021,,,,,85184142,TO
nfa_230_2.0_9.ba,15,231,,,,,231,231,233,,,,,,,29674098,44821723,,,,,74495821,TO
nfa_270_2.0_1.ba,16,271,,,,,271,271,273,,,,,,,30324939,50604848,,,,,80929787,TO
nfa_250_2.0_5.ba,15,251,,,,,251,251,253,,,,,,,29557358,45320703,,,,,74878061,TO
nfa_180_2.0_9.ba,13,181,,,,,181,181,183,,599744,6,6,6,,17571851,33484030,24192514670,,14349596887,,38593167438,
nfa_130_2.0_1.ba,11,131,,,,,131,131,133,,141431,4,4,4,,13857811,24603911,3706546922,,722895519,,4467904163,
nfa_300_2.0_1.ba,17,301,,,,,301,301,303,,,,,,,33995772,55012182,,,,,89007954,TO
nfa_180_2.0_1.ba,13,181,,,,,181,181,183,,660556,9,9,9,,18209741,34708602,27799340084,,27257156990,,55109415417,
nfa_200_2.0_5.ba,14,201,,,,,201,201,203,,1086281,6,6,6,,21129190,36419279,103476719607,,43370471439,,146904739515,
nfa_140_2.0_0.ba,11,141,,,,,141,141,143,,187326,7,6,6,,13639052,25757513,6236880253,,1708891030,,7985167848,
